Query_Edge_ID,Query_Piece_ID,Query_Edge_Index,Match_Edge_ID,Match_Piece_ID,Match_Edge_Index,Procrustes_Distance,Rank
1_piece8_e1,1_piece8,1,103_piece8_e1,103_piece8,1,0.006796048488467932,1
1_piece8_e1,1_piece8,1,80_piece28_e3,80_piece28,3,0.007238440681248903,2
1_piece8_e1,1_piece8,1,34_piece21_e1,34_piece21,1,0.007402346003800631,3
1_piece8_e1,1_piece8,1,52_piece3_e3,52_piece3,3,0.007911674678325653,4
1_piece8_e1,1_piece8,1,98_piece6_e0,98_piece6,0,0.008357408456504345,5
1_piece8_e2,1_piece8,2,27_piece0_e3,27_piece0,3,0.04467901214957237,1
1_piece8_e2,1_piece8,2,95_piece3_e2,95_piece3,2,0.05124351382255554,2
1_piece8_e2,1_piece8,2,37_piece43_e2,37_piece43,2,0.05799960717558861,3
1_piece8_e2,1_piece8,2,35_piece11_e2,35_piece11,2,0.06056170538067818,4
1_piece8_e2,1_piece8,2,33_piece62_e0,33_piece62,0,0.06290887296199799,5
1_piece8_e3,1_piece8,3,60_piece11_e3,60_piece11,3,0.007489207200706005,1
1_piece8_e3,1_piece8,3,10_piece7_e1,10_piece7,1,0.0089011425152421,2
1_piece8_e3,1_piece8,3,90_piece31_e1,90_piece31,1,0.00966261513531208,3
1_piece8_e3,1_piece8,3,44_piece7_e0,44_piece7,0,0.009942119009792805,4
1_piece8_e3,1_piece8,3,52_piece3_e3,52_piece3,3,0.01035082247108221,5
10_piece2_e0,10_piece2,0,81_piece30_e3,81_piece30,3,0.006474201567471027,1
10_piece2_e0,10_piece2,0,39_piece24_e0,39_piece24,0,0.00700846454128623,2
10_piece2_e0,10_piece2,0,26_piece14_e2,26_piece14,2,0.009716556407511234,3
10_piece2_e0,10_piece2,0,20_piece86_e3,20_piece86,3,0.010015036910772324,4
10_piece2_e0,10_piece2,0,6_piece147_e2,6_piece147,2,0.010111339390277863,5
10_piece2_e1,10_piece2,1,68_piece10_e3,68_piece10,3,0.005569266155362129,1
10_piece2_e1,10_piece2,1,48_piece29_e3,48_piece29,3,0.005720379762351513,2
10_piece2_e1,10_piece2,1,46_piece31_e2,46_piece31,2,0.006139999255537987,3
10_piece2_e1,10_piece2,1,45_piece10_e2,45_piece10,2,0.006294349208474159,4
10_piece2_e1,10_piece2,1,48_piece42_e0,48_piece42,0,0.006865246221423149,5
10_piece2_e2,10_piece2,2,22_piece4_e1,22_piece4,1,0.007619861513376236,1
10_piece2_e2,10_piece2,2,39_piece24_e1,39_piece24,1,0.007945341989398003,2
10_piece2_e2,10_piece2,2,31_piece1_e1,31_piece1,1,0.009554021991789341,3
10_piece2_e2,10_piece2,2,57_piece21_e0,57_piece21,0,0.009691844694316387,4
10_piece2_e2,10_piece2,2,1_piece4_e2,1_piece4,2,0.00974145159125328,5
10_piece2_e3,10_piece2,3,98_piece40_e2,98_piece40,2,0.002196656307205558,1
10_piece2_e3,10_piece2,3,33_piece17_e2,33_piece17,2,0.0025482180062681437,2
10_piece2_e3,10_piece2,3,90_piece22_e0,90_piece22,0,0.002771857427433133,3
10_piece2_e3,10_piece2,3,57_piece13_e1,57_piece13,1,0.0028770463541150093,4
10_piece2_e3,10_piece2,3,44_piece96_e3,44_piece96,3,0.0028884613420814276,5
10_piece3_e0,10_piece3,0,77_piece18_e3,77_piece18,3,0.01226678118109703,1
10_piece3_e0,10_piece3,0,6_piece37_e2,6_piece37,2,0.0150456503033638,2
10_piece3_e0,10_piece3,0,88_piece20_e2,88_piece20,2,0.017237721011042595,3
10_piece3_e0,10_piece3,0,87_piece36_e0,87_piece36,0,0.017879201099276543,4
10_piece3_e0,10_piece3,0,2_piece7_e1,2_piece7,1,0.020730413496494293,5
10_piece3_e1,10_piece3,1,57_piece24_e3,57_piece24,3,0.015992609784007072,1
10_piece3_e1,10_piece3,1,46_piece19_e1,46_piece19,1,0.016835177317261696,2
10_piece3_e1,10_piece3,1,27_piece9_e1,27_piece9,1,0.01895904541015625,3
10_piece3_e1,10_piece3,1,96_piece0_e0,96_piece0,0,0.024956531822681427,4
10_piece3_e1,10_piece3,1,88_piece16_e2,88_piece16,2,0.02642194740474224,5
10_piece3_e2,10_piece3,2,58_piece6_e0,58_piece6,0,0.011563093401491642,1
10_piece3_e2,10_piece3,2,20_piece64_e0,20_piece64,0,0.011762394569814205,2
10_piece3_e2,10_piece3,2,37_piece65_e0,37_piece65,0,0.01247505471110344,3
10_piece3_e2,10_piece3,2,20_piece64_e2,20_piece64,2,0.013617325574159622,4
10_piece3_e2,10_piece3,2,65_piece6_e3,65_piece6,3,0.01648939959704876,5
10_piece3_e3,10_piece3,3,87_piece46_e3,87_piece46,3,0.03338179737329483,1
10_piece3_e3,10_piece3,3,94_piece25_e0,94_piece25,0,0.03947712853550911,2
10_piece3_e3,10_piece3,3,46_piece6_e2,46_piece6,2,0.05523739010095596,3
10_piece3_e3,10_piece3,3,62_piece1_e2,62_piece1,2,0.06286349147558212,4
10_piece3_e3,10_piece3,3,42_piece6_e0,42_piece6,0,0.06913036853075027,5
10_piece6_e0,10_piece6,0,76_piece10_e2,76_piece10,2,0.1486636847257614,1
10_piece6_e1,10_piece6,1,104_piece17_e1,104_piece17,1,0.011494820937514305,1
10_piece6_e1,10_piece6,1,12_piece5_e1,12_piece5,1,0.012055584229528904,2
10_piece6_e1,10_piece6,1,20_piece143_e0,20_piece143,0,0.01292823813855648,3
10_piece6_e1,10_piece6,1,109_piece4_e2,109_piece4,2,0.013482187874615192,4
10_piece6_e1,10_piece6,1,6_piece26_e0,6_piece26,0,0.013944262638688087,5
10_piece6_e2,10_piece6,2,88_piece17_e2,88_piece17,2,0.06634636223316193,1
10_piece6_e2,10_piece6,2,91_piece13_e1,91_piece13,1,0.08245565742254257,2
10_piece6_e2,10_piece6,2,38_piece2_e2,38_piece2,2,0.08486761897802353,3
10_piece6_e2,10_piece6,2,71_piece14_e3,71_piece14,3,0.09047150611877441,4
10_piece6_e2,10_piece6,2,11_piece35_e2,11_piece35,2,0.0907023698091507,5
10_piece6_e3,10_piece6,3,91_piece11_e1,91_piece11,1,0.01611500419676304,1
10_piece6_e3,10_piece6,3,97_piece11_e1,97_piece11,1,0.02426730841398239,2
10_piece6_e3,10_piece6,3,83_piece34_e2,83_piece34,2,0.025141483172774315,3
10_piece6_e3,10_piece6,3,39_piece20_e3,39_piece20,3,0.027057025581598282,4
10_piece6_e3,10_piece6,3,75_piece12_e0,75_piece12,0,0.027779340744018555,5
10_piece7_e0,10_piece7,0,45_piece10_e3,45_piece10,3,0.0025168710853904486,1
10_piece7_e0,10_piece7,0,28_piece37_e0,28_piece37,0,0.0026217622216790915,2
10_piece7_e0,10_piece7,0,34_piece21_e2,34_piece21,2,0.002647197572514415,3
10_piece7_e0,10_piece7,0,45_piece10_e2,45_piece10,2,0.002695496426895261,4
10_piece7_e0,10_piece7,0,6_piece150_e1,6_piece150,1,0.002794873435050249,5
10_piece7_e1,10_piece7,1,78_piece2_e1,78_piece2,1,0.0036223027855157852,1
10_piece7_e1,10_piece7,1,80_piece74_e1,80_piece74,1,0.0056044370867311954,2
10_piece7_e1,10_piece7,1,11_piece10_e1,11_piece10,1,0.005743297748267651,3
10_piece7_e1,10_piece7,1,80_piece24_e2,80_piece24,2,0.006236599758267403,4
10_piece7_e1,10_piece7,1,63_piece3_e0,63_piece3,0,0.006378905847668648,5
10_piece7_e2,10_piece7,2,87_piece48_e1,87_piece48,1,0.0019927227403968573,1
10_piece7_e2,10_piece7,2,89_piece1_e1,89_piece1,1,0.0022680042311549187,2
10_piece7_e2,10_piece7,2,78_piece1_e0,78_piece1,0,0.0032671275548636913,3
10_piece7_e2,10_piece7,2,4_piece10_e3,4_piece10,3,0.0033324826508760452,4
10_piece7_e2,10_piece7,2,39_piece22_e3,39_piece22,3,0.0036695990711450577,5
10_piece7_e3,10_piece7,3,32_piece9_e1,32_piece9,1,0.004890578333288431,1
10_piece7_e3,10_piece7,3,44_piece98_e1,44_piece98,1,0.006202086340636015,2
10_piece7_e3,10_piece7,3,6_piece50_e2,6_piece50,2,0.007158123888075352,3
10_piece7_e3,10_piece7,3,89_piece2_e1,89_piece2,1,0.008082520216703415,4
10_piece7_e3,10_piece7,3,80_piece79_e2,80_piece79,2,0.008359433151781559,5
100_piece0_e0,100_piece0,0,100_piece9_e2,100_piece9,2,0.005599339492619038,1
100_piece0_e0,100_piece0,0,12_piece14_e1,12_piece14,1,0.006150245666503906,2
100_piece0_e0,100_piece0,0,89_piece5_e1,89_piece5,1,0.006585272960364819,3
100_piece0_e0,100_piece0,0,24_piece1_e0,24_piece1,0,0.006756248883903027,4
100_piece0_e0,100_piece0,0,11_piece30_e1,11_piece30,1,0.007277880795300007,5
100_piece0_e1,100_piece0,1,75_piece19_e1,75_piece19,1,0.019363947212696075,1
100_piece0_e1,100_piece0,1,44_piece75_e3,44_piece75,3,0.03225933760404587,2
100_piece0_e1,100_piece0,1,39_piece12_e0,39_piece12,0,0.04228881001472473,3
100_piece0_e1,100_piece0,1,27_piece0_e1,27_piece0,1,0.043015800416469574,4
100_piece0_e1,100_piece0,1,91_piece8_e2,91_piece8,2,0.044966187328100204,5
100_piece0_e2,100_piece0,2,80_piece69_e2,80_piece69,2,0.008228006772696972,1
100_piece0_e2,100_piece0,2,6_piece47_e2,6_piece47,2,0.008717689663171768,2
100_piece0_e2,100_piece0,2,31_piece1_e3,31_piece1,3,0.008947234600782394,3
100_piece0_e2,100_piece0,2,20_piece31_e3,20_piece31,3,0.009377337992191315,4
100_piece0_e2,100_piece0,2,102_piece11_e3,102_piece11,3,0.009410415776073933,5
