Query_Edge_ID,Query_Piece_ID,Query_Edge_Index,Match_Edge_ID,Match_Piece_ID,Match_Edge_Index,Procrustes_Distance,Rank
1_piece4_e0,1_piece4,0,34_piece9_e2,34_piece9,2,0.0012963335029780865,1
1_piece4_e0,1_piece4,0,71_piece28_e0,71_piece28,0,0.0028273356147110462,2
1_piece4_e0,1_piece4,0,60_piece17_e0,60_piece17,0,0.003889865940436721,3
1_piece4_e0,1_piece4,0,80_piece26_e1,80_piece26,1,0.00396290747448802,4
1_piece4_e0,1_piece4,0,79_piece1_e1,79_piece1,1,0.00439794547855854,5
1_piece4_e1,1_piece4,1,34_piece21_e1,34_piece21,1,0.002372376387938857,1
1_piece4_e1,1_piece4,1,10_piece7_e1,10_piece7,1,0.003057877765968442,2
1_piece4_e1,1_piece4,1,11_piece30_e0,11_piece30,0,0.005483221262693405,3
1_piece4_e1,1_piece4,1,104_piece8_e2,104_piece8,2,0.005620513577014208,4
1_piece4_e1,1_piece4,1,20_piece64_e0,20_piece64,0,0.00595824234187603,5
1_piece4_e2,1_piece4,2,105_piece7_e1,105_piece7,1,0.002456140471622348,1
1_piece4_e2,1_piece4,2,20_piece32_e2,20_piece32,2,0.00362243689596653,2
1_piece4_e2,1_piece4,2,71_piece19_e3,71_piece19,3,0.0040535470470786095,3
1_piece4_e2,1_piece4,2,58_piece14_e1,58_piece14,1,0.004514782223850489,4
1_piece4_e2,1_piece4,2,84_piece53_e0,84_piece53,0,0.00465369364246726,5
1_piece4_e3,1_piece4,3,34_piece9_e0,34_piece9,0,0.0031034641433507204,1
1_piece4_e3,1_piece4,3,38_piece0_e1,38_piece0,1,0.00374721665866673,2
1_piece4_e3,1_piece4,3,105_piece7_e3,105_piece7,3,0.004268544726073742,3
1_piece4_e3,1_piece4,3,78_piece0_e2,78_piece0,2,0.004463409073650837,4
1_piece4_e3,1_piece4,3,26_piece14_e0,26_piece14,0,0.004522774834185839,5
1_piece6_e0,1_piece6,0,71_piece15_e0,71_piece15,0,0.05538572371006012,1
1_piece6_e0,1_piece6,0,38_piece1_e2,38_piece1,2,0.05560174584388733,2
1_piece6_e0,1_piece6,0,100_piece25_e0,100_piece25,0,0.06360004842281342,3
1_piece6_e0,1_piece6,0,28_piece2_e1,28_piece2,1,0.08707059174776077,4
1_piece6_e0,1_piece6,0,20_piece26_e1,20_piece26,1,0.08714664727449417,5
1_piece6_e1,1_piece6,1,46_piece33_e0,46_piece33,0,0.02663414739072323,1
1_piece6_e1,1_piece6,1,46_piece14_e0,46_piece14,0,0.03007557801902294,2
1_piece6_e1,1_piece6,1,37_piece37_e0,37_piece37,0,0.033242225646972656,3
1_piece6_e1,1_piece6,1,100_piece0_e1,100_piece0,1,0.034336112439632416,4
1_piece6_e1,1_piece6,1,42_piece1_e1,42_piece1,1,0.039365243166685104,5
1_piece6_e2,1_piece6,2,68_piece5_e2,68_piece5,2,0.047382138669490814,1
1_piece6_e2,1_piece6,2,45_piece7_e1,45_piece7,1,0.04872480034828186,2
1_piece6_e2,1_piece6,2,71_piece14_e2,71_piece14,2,0.05248502641916275,3
1_piece6_e2,1_piece6,2,31_piece5_e3,31_piece5,3,0.05429494008421898,4
1_piece6_e2,1_piece6,2,68_piece18_e1,68_piece18,1,0.05693633481860161,5
1_piece6_e3,1_piece6,3,7_piece2_e2,7_piece2,2,0.01367491390556097,1
1_piece6_e3,1_piece6,3,77_piece10_e0,77_piece10,0,0.01493664737790823,2
1_piece6_e3,1_piece6,3,57_piece24_e3,57_piece24,3,0.015216722153127193,3
1_piece6_e3,1_piece6,3,33_piece30_e3,33_piece30,3,0.01776304841041565,4
1_piece6_e3,1_piece6,3,37_piece3_e0,37_piece3,0,0.018011018633842468,5
